epoch 0: loss_token=2.89, acc_token=0.548
epoch 1: loss_token=2.58, acc_token=0.6
epoch 2: loss_token=2.43, acc_token=0.625
epoch 3: loss_token=2.34, acc_token=0.644
epoch 4: loss_token=2.28, acc_token=0.657
epoch 5: loss_token=2.23, acc_token=0.669
epoch 6: loss_token=2.18, acc_token=0.68
epoch 7: loss_token=2.15, acc_token=0.68
epoch 8: loss_token=2.14, acc_token=0.685
epoch 9: loss_token=2.11, acc_token=0.692
epoch 10: loss_token=2.09, acc_token=0.694
epoch 11: loss_token=2.08, acc_token=0.698
epoch 12: loss_token=2.06, acc_token=0.705
epoch 13: loss_token=2.06, acc_token=0.71
epoch 14: loss_token=2.04, acc_token=0.708
epoch 15: loss_token=2.03, acc_token=0.711
epoch 16: loss_token=2.03, acc_token=0.714
epoch 17: loss_token=2.02, acc_token=0.714
epoch 18: loss_token=2.02, acc_token=0.713
epoch 19: loss_token=2.01, acc_token=0.719
